ID;Year_of_Birth;Education_Level;Marital_Status;Annual_Salary;Children_at_Home;Teens_at_Home;Registration_Date;Days_Since_Last_Purchase;Electronics_Spending;Toy_Spending;Furniture_Spending;Utilities_Spending;Food_Spending;Clothing_Spending;Number_of_Discount_Purchases;Number_of_Web_Purchases;Number_of_Catalog_Purchases;Number_of_Store_Purchases;Number_of_Website_Visits_per_Month;Campaign_1_Purchase;Campaign_2_Purchase;Campaign_3_Purchase;Campaign_4_Purchase;Campaign_5_Purchase;Purchased;Country
7962;1987;Doctorate;Single;95169;0;0;10/9/20;1;1285;21;449;106;20;20;1;4;3;4;1;0;0;1;1;0;1;United States
2681;1984;High School;Single;65370;0;0;8/1/20;1;71;22;112;138;89;29;1;2;3;13;1;0;0;0;0;0;0;United States
10141;1960;Master's Degree;Divorced;39228;0;0;5/10/20;1;7;1;6;0;3;3;1;0;0;3;4;0;0;0;0;0;0;Spain
3725;1961;Doctorate;Single;84865;0;0;5/9/20;1;1248;16;349;43;16;16;1;2;4;9;4;0;1;1;1;1;1;United States
3767;1968;College Degree;Single;61314;0;1;4/4/23;1;378;0;189;97;172;172;2;5;5;12;3;0;0;0;0;0;0;United States
5585;1972;College Degree;Single;21359;1;0;4/5/22;1;12;2;17;6;1;10;2;2;0;3;8;0;0;0;0;0;1;Chile
7030;1955;Doctorate;Single;66465;0;1;3/2/23;1;1200;0;204;38;29;14;3;11;9;12;6;0;0;0;1;0;0;United States
1524;1983;High School;Single;81698;0;0;3/1/20;1;709;45;115;30;160;45;1;8;2;5;5;0;0;0;1;0;1;United States
3657;1986;College Degree;Single;39146;1;0;2/2/23;1;94;1;33;13;12;12;3;4;0;4;8;0;0;0;0;0;0;United States
5740;1970;High School;Divorced;25959;1;1;2/2/23;1;4;2;12;7;5;26;2;1;2;2;6;0;0;0;0;0;1;United States
9595;1961;College Degree;Married;64260;0;0;1/11/20;1;539;169;816;20;0;30;1;4;5;4;3;0;0;0;0;0;1;United States
3158;1973;College Degree;Single;32300;1;0;1/3/20;1;13;3;6;6;5;6;1;1;0;3;8;0;0;0;0;0;0;United States
5114;1965;Master's Degree;Single;74806;0;1;12/4/22;1;670;9;249;0;28;9;2;5;4;5;4;0;0;0;0;0;0;Brazil
340;1970;College Degree;Divorced;72967;0;1;12/3/22;1;158;35;179;0;0;125;2;7;2;8;5;1;0;0;0;0;1;Germany
8805;1960;College Degree;Single;48904;0;1;12/2/19;1;283;10;38;0;13;27;4;7;2;4;8;0;0;0;0;0;0;Portugal
1241;1984;High School;Single;14796;1;0;9/2/22;1;13;3;8;7;4;16;2;1;0;3;9;0;0;0;0;0;1;Germany
1402;1954;Master's Degree;Single;66991;0;0;9/11/19;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;Germany
7264;1978;High School;Single;52195;2;1;5/4/18;2;12;0;4;0;0;1;1;1;0;2;8;0;0;0;0;0;0;Spain
1619;1956;College Degree;Single;90369;0;0;4/3/21;2;292;51;981;224;23;17;1;4;6;6;1;0;0;0;0;0;1;United States
6398;1974;Elementary School;Single;18393;1;0;3/7/21;2;7;10;13;16;0;4;2;3;0;3;8;0;0;0;0;0;0;United States
1857;1952;College Degree;Single;47139;1;1;3/6/18;2;46;0;12;0;2;23;2;2;1;2;7;0;0;0;0;0;1;United States
4877;1973;Master's Degree;Single;38576;0;1;3/4/18;2;34;0;7;0;0;0;1;1;0;3;7;0;0;0;0;0;0;Argentina
3066;1975;Doctorate;Married;61905;0;1;2/4/18;2;167;0;43;6;2;13;2;4;2;4;5;0;0;0;0;0;0;Spain
10286;1962;College Degree;Single;83715;0;0;2/3/18;2;318;8;407;150;35;8;1;2;8;13;0;0;0;0;0;0;0;Spain
1992;1964;College Degree;Single;60597;0;1;1/1/18;2;522;0;257;32;16;66;4;2;2;8;7;0;0;0;1;0;1;United States
4246;1982;Master's Degree;Single;6560;0;0;12/4/20;2;67;11;26;4;3;262;0;1;0;1;17;0;0;0;0;0;0;United States
10623;1961;Master's Degree;Married;48330;0;1;11/3/23;2;28;0;4;0;0;0;1;1;0;3;5;0;0;0;0;0;0;United States
4867;1968;Doctorate;Single;38236;1;1;9/5/22;2;58;0;18;2;0;10;4;3;0;4;7;0;0;0;0;0;0;United States
3112;1977;Master's Degree;Single;22701;1;0;9/5/20;2;2;4;9;0;4;5;1;1;0;3;5;0;0;0;0;0;0;United States
4865;1974;Master's Degree;Divorced;53367;1;1;8/8/23;2;229;7;140;10;3;11;7;5;1;8;7;0;0;0;0;0;1;Brazil
6287;1986;College Degree;Married;34728;1;0;7/2/23;2;14;0;16;0;0;6;1;1;1;2;6;0;0;0;0;0;1;United States
4405;1956;Master's Degree;Single;63915;0;2;7/2/23;2;622;7;115;30;0;15;2;6;3;12;5;0;0;0;0;0;0;Brazil
5332;1960;High School;Single;82504;0;0;7/3/23;2;362;50;431;134;35;54;1;3;6;7;1;0;0;0;0;0;0;Argentina
1519;1972;Doctorate;Single;38578;1;1;6/4/23;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;1;United States
9080;1972;Doctorate;Single;38578;1;1;6/4/23;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;0;United States
1772;1975;Doctorate;Single;79174;0;0;1/11/20;2;1074;37;518;193;92;129;1;5;6;7;2;0;0;1;1;0;1;Chile
5341;1962;High School;Divorced;81975;0;1;1/5/20;2;983;76;184;180;138;27;1;6;3;4;7;0;0;1;0;0;0;Spain
5510;1977;Master's Degree;Single;43263;0;1;11/4/22;2;262;6;61;0;10;102;3;5;2;6;5;0;0;0;0;0;0;United States
3887;1970;College Degree;Single;27242;1;0;11/11/19;2;3;17;26;20;1;39;2;2;0;3;9;0;0;0;0;0;1;Argentina
7022;1971;College Degree;Single;76445;1;0;9/3/22;2;739;107;309;140;80;35;1;2;5;13;6;0;0;0;0;0;0;Spain
9999;1965;College Degree;Married;75276;0;0;9/8/22;2;610;105;125;137;42;21;1;9;4;9;5;0;0;0;0;0;0;United States
10352;1963;College Degree;Divorced;34213;1;1;9/7/19;2;50;4;28;6;3;26;3;3;1;2;9;0;0;0;0;0;1;Spain
7919;1976;Doctorate;Married;72335;0;0;8/7/22;2;1285;105;653;28;21;0;1;10;4;8;8;0;0;0;0;0;1;United States
4114;1964;Master's Degree;Single;79143;0;0;8/11/19;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;Brazil
7990;1947;College Degree;Single;27469;0;0;8/2/19;2;9;1;2;3;2;0;1;0;0;3;6;0;0;0;0;0;0;Chile
9888;1969;College Degree;Married;68695;0;0;6/4/21;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;0;United States
4399;1969;College Degree;Married;68695;0;0;6/4/21;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;0;Chile
4452;1957;College Degree;Single;50388;0;1;5/3/21;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;1;Germany
4785;1970;Doctorate;Married;77622;0;2;4/2/21;3;520;7;154;19;0;14;2;6;3;11;3;0;0;0;0;0;0;Spain
8461;1962;College Degree;Divorced;46102;2;1;3/10/18;3;14;0;1;0;0;1;1;1;0;2;7;0;0;0;0;0;0;United States
3878;1980;High School;Single;31859;1;0;2/3/21;3;3;4;7;15;8;11;1;1;0;3;7;0;0;0;0;0;0;United States
9612;1987;High School;Single;23830;0;0;2/7/18;3;1;8;6;4;8;16;1;1;0;3;7;0;0;0;0;0;0;United States
4098;1973;College Degree;Single;24639;1;1;1/3/21;3;20;3;16;0;4;1;3;2;0;4;6;0;0;0;0;0;0;Brazil
158;1945;Doctorate;Married;71604;0;0;11/2/23;3;345;53;528;98;75;97;1;8;3;5;4;1;0;0;0;0;1;United States
3896;1984;College Degree;Single;27255;1;0;11/7/20;3;22;1;11;0;1;2;1;1;0;3;7;0;0;0;0;0;0;United States
9970;1977;College Degree;Married;55375;0;1;10/2/23;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;Chile
4002;1960;Doctorate;Single;77037;0;1;10/7/23;3;463;96;333;168;53;10;1;7;7;12;3;0;0;0;0;0;0;United States
10914;1970;College Degree;Single;24163;1;1;10/4/20;3;4;1;7;2;1;2;2;1;0;3;4;0;0;0;0;0;0;United States
7279;1969;Doctorate;Married;69476;0;0;9/2/23;3;260;86;559;63;9;67;1;4;6;4;2;0;0;0;0;0;0;Portugal
10582;1979;College Degree;Single;72063;0;1;7/3/20;3;180;32;348;76;32;90;2;5;2;12;2;0;0;0;0;0;0;Germany
4470;1962;Master's Degree;Single;58646;0;1;6/10/20;3;62;1;44;6;5;22;1;2;1;4;4;0;0;0;0;0;0;United States
6183;1962;Master's Degree;Single;58646;0;1;6/10/20;3;62;1;44;6;5;22;1;2;1;4;4;0;0;0;0;0;0;Germany
6379;1949;Master's Degree;Divorced;47570;1;1;5/7/23;3;67;1;20;0;2;31;3;2;2;2;7;0;0;0;0;0;1;Portugal
8601;1980;College Degree;Single;80011;0;1;4/7/23;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;Brazil
4827;1956;Doctorate;Single;54998;0;1;3/10/20;3;154;22;202;39;30;8;5;4;2;9;4;0;0;0;0;0;1;United States
6715;1948;Doctorate;Single;60200;0;1;1/2/20;3;502;19;132;0;6;26;6;6;2;11;6;0;0;0;0;0;0;United States
10676;1982;College Degree;Single;63211;0;0;11/2/19;3;145;193;459;205;26;145;2;3;8;7;2;0;0;0;0;0;1;United States
1041;1973;Doctorate;Single;48432;0;1;10/4/22;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;1;Spain
492;1973;Doctorate;Married;48432;0;1;10/4/22;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;0;Chile
11133;1973;Doctorate;Married;48432;0;1;10/4/22;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;1;Argentina
4491;1949;Master's Degree;Single;62845;1;1;10/1/19;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;0;United States
873;1949;Master's Degree;Single;62845;1;1;10/1/19;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;1;United States
1631;1965;Doctorate;Married;65220;0;0;9/3/19;3;890;63;292;0;25;12;4;8;4;7;6;0;0;0;0;0;1;Germany
8278;1990;Doctorate;Single;74214;0;0;8/3/22;3;863;83;547;86;99;33;1;8;2;5;5;0;0;0;0;0;0;United States
6815;1980;High School;Single;96547;0;0;5/4/21;4;448;21;125;52;101;62;0;7;6;8;2;1;0;1;1;0;1;United States
254;1955;College Degree;Married;53863;0;1;5/2/21;4;399;4;30;6;4;30;3;7;1;7;7;0;1;0;0;0;0;United States
1349;1970;College Degree;Single;50447;2;0;4/4/21;4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;0;Argentina
2534;1953;College Degree;Single;37716;0;1;4/4/21;4;97;1;41;6;2;41;2;4;1;3;7;0;0;0;0;0;0;Brazil
2130;1982;College Degree;Married;45203;2;0;3/4/21;4;35;3;67;10;8;24;1;3;1;3;6;0;0;0;0;0;1;Spain
2296;1975;Master's Degree;Single;37368;1;0;12/1/23;4;3;2;11;2;2;10;1;1;0;2;6;1;0;0;0;0;0;United States
3799;1955;College Degree;Single;67225;0;1;11/3/23;4;315;35;322;46;7;143;3;7;2;11;5;0;0;0;0;0;0;Portugal
11084;1976;Master's Degree;Married;65104;0;1;11/2/23;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;1;Chile
5172;1976;Master's Degree;Married;65104;0;1;11/2/23;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;United States
9504;1949;Master's Degree;Single;81698;0;0;11/6/20;4;179;28;520;111;123;47;1;3;8;13;1;0;0;0;0;0;1;United States
850;1968;College Degree;Single;70566;0;1;10/6/20;4;381;28;215;84;28;21;2;6;5;9;3;0;0;0;0;0;0;United States
4477;1958;College Degree;Married;69096;0;1;9/3/23;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;Germany
1945;1962;College Degree;Single;71434;0;1;9/5/22;4;711;36;217;172;96;168;3;7;4;7;4;0;1;0;1;0;0;United States
7685;1978;College Degree;Single;33039;1;0;9/9/20;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;0;United States
6310;1978;College Degree;Single;33039;1;0;9/9/20;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;0;Chile
10832;1958;College Degree;Married;46610;0;0;7/5/22;4;288;10;30;4;10;125;1;6;1;6;6;0;0;0;0;0;0;United States
3025;1958;College Degree;Single;49967;0;1;7/8/20;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;Chile
2404;1976;College Degree;Single;53359;1;1;5/3/23;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;Portugal
8581;1971;Master's Degree;Single;49505;1;1;3/5/20;4;604;0;100;19;0;28;9;10;2;8;8;0;0;0;0;0;0;United States
8755;1946;Master's Degree;Single;68657;0;0;2/5/22;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;Brazil
10177;1954;College Degree;Divorced;72071;0;1;2/2/23;4;531;69;300;150;138;150;3;5;4;8;2;0;0;0;0;0;0;United States
2429;1954;College Degree;Divorced;72071;0;1;2/2/23;4;531;69;300;150;138;150;3;5;4;8;2;0;0;0;0;0;0;Chile
8920;1967;Master's Degree;Single;59235;1;0;1/3/20;4;448;40;469;80;0;91;3;11;2;12;7;0;0;0;0;0;0;Argentina
8430;1957;College Degree;Married;21994;0;1;12/4/22;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;Brazil
8619;1957;College Degree;Married;21994;0;1;12/4/22;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;United States
8996;1957;Doctorate;Single;;2;1;11/4/22;4;230;42;192;49;37;53;12;7;2;8;9;0;0;0;0;0;0;Germany
7233;1972;College Degree;Single;69209;0;0;9/2/22;4;496;32;849;229;48;128;2;5;3;6;4;0;0;0;1;0;0;Chile
6678;1989;College Degree;Married;31928;1;0;3/3/21;5;33;4;24;4;2;5;2;3;0;4;7;0;0;0;0;0;0;Argentina
830;1987;Doctorate;Single;74004;0;0;2/4/21;5;784;48;560;42;176;48;1;4;6;4;3;0;0;1;1;0;1;Argentina
6365;1987;High School;Single;30390;0;0;9/2/20;5;10;12;12;25;1;20;1;2;0;3;6;0;0;0;0;0;0;Argentina
6770;1985;College Degree;Single;21355;1;0;8/5/22;5;5;13;14;0;5;31;2;2;1;2;6;1;0;0;0;0;1;Portugal
2261;1969;College Degree;Single;26304;1;0;6/4/23;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;Germany
1031;1989;High School;Single;85710;0;0;5/5/20;5;600;20;350;29;30;33;1;6;9;10;2;0;0;1;0;0;0;Argentina
10089;1974;College Degree;Divorced;102692;0;0;4/5/20;5;168;148;444;32;172;148;1;6;9;13;2;0;1;1;1;1;1;Spain
9256;1971;College Degree;Single;58350;0;1;1/4/20;5;493;26;206;116;80;80;4;8;3;12;6;0;0;0;0;0;0;United States
10641;1978;College Degree;Single;7500;1;1;12/8/22;5;6;5;4;13;4;25;4;2;1;3;6;0;0;0;0;0;0;United States
624;1984;Master's Degree;Single;18890;0;0;11/7/20;5;6;4;1;7;2;15;1;0;1;2;6;1;0;0;0;0;1;Spain
4211;1986;Elementary School;Single;20425;1;0;10/9/22;5;4;12;5;3;16;17;2;2;0;3;7;0;0;0;0;0;0;Chile
1407;1986;Elementary School;Single;20425;1;0;10/9/22;5;4;12;5;3;16;17;2;2;0;3;7;0;0;0;0;0;0;Germany
10356;1957;Doctorate;Divorced;41437;1;1;9/4/22;5;29;0;2;0;0;1;1;1;0;3;7;0;0;0;0;0;0;United States
9323;1949;Master's Degree;Married;49912;0;1;9/7/19;5;520;8;223;32;49;42;4;10;5;7;8;1;0;0;0;0;1;Portugal
1146;1949;Master's Degree;Married;49912;0;1;9/7/19;5;520;8;223;32;49;42;4;10;5;7;8;1;0;0;0;0;1;Brazil
6343;1959;College Degree;Single;79823;0;1;3/8/21;6;835;73;380;114;73;43;1;6;9;7;2;0;1;0;0;0;0;Brazil
8545;1954;College Degree;Divorced;85683;0;0;3/4/21;6;1296;17;311;45;69;51;1;2;4;10;1;0;1;1;1;1;1;United States
8275;1965;Doctorate;Divorced;47025;1;1;2/9/18;6;16;0;3;0;0;1;1;1;0;2;7;0;0;0;0;0;0;United States
10673;1976;Doctorate;Single;68397;0;1;11/2/23;6;760;80;466;17;13;80;1;6;9;5;3;0;0;0;0;0;0;Spain
8799;1984;Doctorate;Single;38175;1;0;9/4/23;6;70;6;69;2;3;3;3;3;1;4;7;0;0;0;0;0;0;United States
67;1972;Master's Degree;Single;46423;1;1;9/5/22;6;68;0;16;0;0;8;3;2;0;4;7;0;0;0;0;0;0;United States
9923;1972;Master's Degree;Single;46423;1;1;9/5/22;6;68;0;16;0;0;8;3;2;0;4;7;0;0;0;0;0;0;United States
2814;1976;Master's Degree;Married;30560;1;0;6/3/23;6;9;1;5;4;5;7;1;1;0;3;7;0;0;0;0;0;0;Spain
2711;1976;Master's Degree;Married;30560;1;0;6/3/23;6;9;1;5;4;5;7;1;1;0;3;7;0;0;0;0;0;0;Chile
4320;1979;College Degree;Single;60152;0;1;3/1/23;6;325;83;300;86;58;91;1;6;4;12;3;0;0;0;0;0;0;United States
10451;1965;College Degree;Married;29672;1;1;3/9/20;6;9;1;3;0;4;8;1;0;0;3;6;0;0;0;0;0;0;Spain
4198;1965;College Degree;Married;29672;1;1;3/10/20;6;9;1;3;0;4;8;1;0;0;3;6;0;0;0;0;0;0;United States
10814;1947;College Degree;Married;70321;0;0;1/1/23;6;303;23;751;82;26;191;1;6;5;13;4;0;0;0;0;0;1;United States
944;1962;College Degree;Single;56181;0;1;1/8/20;6;121;103;69;8;44;48;1;4;2;7;4;0;0;0;0;0;0;United States
8151;1990;Elementary School;Single;24279;0;0;12/9/22;6;16;36;21;20;62;108;1;4;1;3;8;0;0;0;0;0;0;United States
6184;1969;Doctorate;Single;68462;0;0;12/4/19;6;561;64;785;84;128;48;1;3;3;8;1;0;0;0;0;0;0;United States
3498;1976;Doctorate;Single;55424;0;1;11/4/22;6;462;61;184;10;53;107;4;7;5;9;6;1;0;0;0;0;1;United States
2870;1973;College Degree;Single;49094;0;1;9/4/22;6;376;0;38;11;8;69;5;6;3;6;6;0;0;0;0;0;0;United States
7342;1961;High School;Divorced;59184;0;1;9/9/19;6;341;142;113;259;151;66;3;6;6;12;5;0;0;0;0;0;0;United States
1911;1987;College Degree;Married;67430;0;0;9/5/19;6;595;97;291;127;133;121;1;11;5;12;6;0;0;0;0;0;0;Germany
10862;1960;Master's Degree;Single;30522;0;1;8/2/22;6;179;8;83;19;11;26;5;1;2;9;2;0;0;0;0;0;0;United States
2546;1977;High School;Single;31878;0;1;6/4/21;7;23;4;5;10;5;23;1;1;0;4;3;0;0;0;0;0;0;United States
3005;1992;College Degree;Single;83528;0;0;5/1/18;7;530;117;678;134;44;147;1;4;10;8;1;1;0;0;1;0;1;United States
8318;1979;College Degree;Married;90300;0;0;1/3/18;7;594;134;786;33;134;57;0;5;6;8;1;0;0;1;0;0;0;United States
2930;1978;Master's Degree;Single;68092;0;0;12/1/23;7;852;60;207;78;36;48;2;2;6;10;5;0;0;0;0;0;0;Spain
8216;1972;Master's Degree;Single;53761;1;1;10/11/20;7;158;0;76;13;7;71;6;4;4;3;5;0;0;0;0;0;0;Brazil
1212;1973;College Degree;Single;52845;1;0;8/7/23;7;384;25;292;130;41;64;3;8;8;6;6;1;0;0;0;0;0;United States
2541;1976;College Degree;Single;24027;1;0;6/9/20;7;14;7;11;11;0;5;2;2;0;3;8;0;0;0;0;0;0;United States
10659;1979;High School;Married;7500;1;0;5/7/20;7;2;8;11;3;8;21;4;3;2;2;7;0;0;0;0;0;0;Argentina
10905;1955;College Degree;Married;42586;1;1;10/9/22;7;194;2;56;0;0;0;5;4;1;6;8;0;0;0;0;0;1;United States
8910;1955;College Degree;Married;42586;1;1;10/9/22;7;194;2;56;0;0;0;5;4;1;6;8;0;0;0;0;0;1;United States
7349;1973;Elementary School;Married;9722;1;0;10/2/19;7;6;17;16;6;16;42;4;3;1;3;8;0;0;0;0;0;1;United States
7872;1975;Doctorate;Single;86836;0;0;9/11/19;7;179;21;273;0;21;63;1;6;10;6;5;1;0;1;1;0;1;United States
4290;1972;College Degree;Single;30467;1;0;3/4/21;8;1;3;8;2;5;5;1;1;0;2;7;0;0;0;0;0;0;Chile
7408;1952;Doctorate;Single;54549;0;1;3/3/18;8;216;2;6;0;0;9;2;5;1;4;7;0;0;0;0;0;0;Spain
9986;1982;College Degree;Married;19444;1;0;2/4/21;8;16;0;23;3;2;10;3;4;1;2;7;0;0;0;0;0;1;Spain
8235;1956;Master's Degree;Married;69245;0;1;1/4/21;8;428;30;214;80;30;61;2;6;5;10;3;0;0;0;0;0;0;Spain
10949;1963;Doctorate;Divorced;72968;0;0;12/1/23;8;1092;37;592;145;37;55;1;5;5;8;3;0;0;0;1;0;1;United States
7284;1953;College Degree;Single;48686;1;2;12/4/20;8;10;0;7;2;0;1;1;1;0;2;8;0;0;0;0;0;0;United States
9529;1990;College Degree;Single;73687;0;0;11/1/23;8;559;153;503;218;13;181;1;3;9;9;2;0;0;0;1;0;1;Spain
9930;1944;Doctorate;Single;82716;0;0;11/5/20;8;606;148;228;15;148;22;1;6;8;13;2;0;0;0;0;0;0;Chile
10270;1981;High School;Single;35523;1;0;10/3/20;8;11;5;22;12;5;11;2;3;0;3;7;0;0;0;0;0;0;Germany
760;1975;Doctorate;Divorced;60554;1;0;8/9/20;8;588;7;76;110;15;15;2;8;4;9;6;0;0;0;0;0;0;Spain
5519;1956;College Degree;Married;64090;0;1;8/7/20;8;316;58;161;76;51;135;1;6;9;4;5;0;0;0;0;0;1;Spain
232;1965;College Degree;Single;61559;0;1;7/2/23;8;279;83;88;32;14;34;1;4;2;10;3;0;0;0;0;0;0;United States
3009;1962;Doctorate;Divorced;71670;0;0;7/9/20;8;1462;16;128;0;0;160;1;5;3;6;6;0;1;1;0;1;1;United States
6518;1951;Doctorate;Divorced;67680;0;1;6/11/20;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;Brazil
10669;1981;College Degree;Single;54386;0;1;5/2/23;8;277;21;64;62;21;25;2;3;2;10;3;0;0;0;0;0;0;United States
5682;1953;Doctorate;Single;64108;0;1;3/4/23;8;948;10;86;13;21;21;4;6;9;11;5;0;0;0;0;0;0;Brazil
